1,1,0,0,0,TSS,1,REGULATORY,0,1,1,0
0,1,0,0,0,GE2,2,REGULATORY,0,1,1,0
1,0,1,0,0,R5,3,UPSTREAM,1,0,0,0
1,1,1,1,1,Undefined,4,INTRONIC,0,1,0,1
0,0,0,1,0,D,5,INTRONIC,0,1,0,1
0,0,0,0,1,C1,6,DOWNSTREAM,0,0,1,1
1,0,0,1,0,R3,7,DOWNSTREAM,0,0,1,1
1,0,1,0,1,TF0,8,INTRONIC,0,1,0,1
1,0,1,0,1,TF0,9,INTRONIC,0,1,0,1
1,0,1,0,0,R5,10,INTRONIC,0,1,0,1
1,0,1,0,0,R5,11,INTRONIC,0,1,0,1
1,0,1,0,0,R5,12,INTRONIC,0,1,0,1
0,1,0,0,1,GM0,13,INTRONIC,0,1,0,1
1,0,0,0,0,R1,14,INTRONIC,0,1,0,1
1,0,0,1,1,R4,15,INTRONIC,0,1,0,1
1,0,1,0,1,TF0,16,INTRONIC,0,1,0,1
1,0,1,0,0,R5,17,INTRONIC,0,1,0,1
0,1,0,0,1,GM0,18,INTRONIC,0,1,0,1
1,0,0,1,1,R4,19,INTRONIC,0,1,0,1
1,0,0,0,0,R1,20,REGULATORY,0,1,1,0
0,0,1,0,0,F0,21,UPSTREAM,1,0,0,0
1,1,0,0,0,TSS,22,REGULATORY,0,1,1,0
1,1,0,0,0,TSS,23,INTRONIC,0,1,0,1
0,1,0,1,1,GS,24,INTRONIC,0,1,0,1
1,0,1,1,1,TF2,25,UPSTREAM,1,0,0,0
1,0,1,1,0,TF1,26,REGULATORY,0,1,1,0
1,0,0,1,0,R3,27,UPSTREAM,1,0,0,0
1,0,1,1,0,TF1,28,UPSTREAM,1,0,0,0
1,0,1,1,0,TF1,29,UPSTREAM,1,0,0,0
0,1,0,1,0,GM1,30,UPSTREAM,1,0,0,0
1,0,1,0,0,R5,31,NONCODING_CHANGE,0,1,1,1
0,1,0,1,1,GS,32,INTRONIC,0,1,0,1
0,0,1,1,1,GE1,33,INTRONIC,0,1,0,1
0,1,0,1,1,GS,34,NONCODING_CHANGE,0,1,1,1
1,0,1,1,0,TF1,35,INTRONIC,0,1,0,1
1,0,0,0,0,R1,36,INTRONIC,0,1,0,1
1,1,0,0,0,TSS,37,REGULATORY,0,1,1,0
1,0,1,0,0,R5,38,REGULATORY,0,1,1,0
0,1,0,1,0,GM1,39,INTRONIC,0,1,0,1
0,1,0,1,0,GM1,40,INTRONIC,0,1,0,1
0,0,1,1,1,GE1,41,INTRONIC,0,1,0,1
0,1,0,0,0,GE2,42,3PRIME_UTR,0,0,0,0
1,0,1,0,0,R5,43,UPSTREAM,1,0,0,0
1,0,1,0,1,TF0,44,DOWNSTREAM,0,0,1,1
1,0,1,0,1,TF0,45,DOWNSTREAM,0,0,1,1
0,1,0,1,0,GM1,46,REGULATORY,0,1,1,0
0,1,0,1,0,GM1,47,REGULATORY,0,1,1,0
1,0,1,0,0,R5,48,INTERGENIC,0,1,0,0
1,0,0,1,1,R4,49,INTERGENIC,0,1,0,0
1,0,0,0,0,R1,50,INTERGENIC,0,1,0,0
1,0,1,0,0,R5,51,INTERGENIC,0,1,0,0
1,0,1,0,0,R5,52,REGULATORY,0,1,1,0
0,1,0,1,0,GM1,53,5PRIME_UTR,0,0,0,1
1,0,1,0,0,R5,54,REGULATORY,0,1,1,0
0,1,0,1,0,GM1,55,INTERGENIC,0,1,0,0
1,0,0,1,1,R4,56,INTERGENIC,0,1,0,0
0,1,0,1,0,GM1,57,REGULATORY,0,1,1,0
0,1,0,1,1,GS,58,REGULATORY,0,1,1,0
0,1,0,0,0,GE2,59,INTERGENIC,0,1,0,0
1,0,0,0,0,R1,60,INTERGENIC,0,1,0,0
1,0,0,1,0,R3,61,INTERGENIC,0,1,0,0
1,0,0,1,0,R3,62,INTERGENIC,0,1,0,0
1,0,1,0,0,R5,63,INTERGENIC,0,1,0,0
1,0,1,0,0,R5,64,INTERGENIC,0,1,0,0
0,1,1,0,0,H3K9me1,65,INTERGENIC,0,1,0,0
0,1,1,0,0,H3K9me1,66,INTERGENIC,0,1,0,0
1,0,1,0,0,R5,67,REGULATORY,0,1,1,0
1,0,1,0,0,R5,68,REGULATORY,0,1,1,0
1,0,1,0,0,R5,69,REGULATORY,0,1,1,0
1,0,1,0,0,R5,70,INTERGENIC,0,1,0,0
1,0,0,0,0,R1,71,INTERGENIC,0,1,0,0
